"Gene"	"IS01"	"IS02"	"State"	"MaxFC"	"InitialState"
"Abl1"	"Abl1"	0.951798542849231	-0.951798542849231	"S01"	0.951798542849231	"IS01"
"Gna12"	"Gna12"	0.947864512316791	-0.947864512316791	"S01"	0.947864512316791	"IS01"
"Tbc1d9b"	"Tbc1d9b"	0.94770972817936	-0.94770972817936	"S01"	0.94770972817936	"IS01"
"Arhgef11"	"Arhgef11"	0.947118871784427	-0.947118871784427	"S01"	0.947118871784427	"IS01"
"Rnf216"	"Rnf216"	0.945785895663643	-0.945785895663643	"S01"	0.945785895663643	"IS01"
"Vav2"	"Vav2"	0.944763558205752	-0.944763558205752	"S01"	0.944763558205752	"IS01"
"Plgrkt"	"Plgrkt"	0.943425632184938	-0.943425632184938	"S01"	0.943425632184938	"IS01"
"Snd1"	"Snd1"	0.942908990686439	-0.942908990686439	"S01"	0.942908990686439	"IS01"
"Cdk6"	"Cdk6"	0.942224738051167	-0.942224738051167	"S01"	0.942224738051167	"IS01"
"Rab2a"	"Rab2a"	0.941863169219805	-0.941863169219805	"S01"	0.941863169219805	"IS01"
"Pum1"	"Pum1"	0.941578934867925	-0.941578934867925	"S01"	0.941578934867925	"IS01"
"Banp"	"Banp"	0.940865669701789	-0.940865669701789	"S01"	0.940865669701789	"IS01"
"Hpgds"	"Hpgds"	0.93992120162189	-0.93992120162189	"S01"	0.93992120162189	"IS01"
"Vps8"	"Vps8"	0.932505252043446	-0.932505252043446	"S01"	0.932505252043446	"IS01"
"Mapkapk2"	"Mapkapk2"	0.932050219302808	-0.932050219302808	"S01"	0.932050219302808	"IS01"
"Fnip1"	"Fnip1"	0.931158171624495	-0.931158171624495	"S01"	0.931158171624495	"IS01"
"Taok1"	"Taok1"	0.930919664136968	-0.930919664136968	"S01"	0.930919664136968	"IS01"
"Fam189a2"	"Fam189a2"	0.930592935795765	-0.930592935795765	"S01"	0.930592935795765	"IS01"
"Klhl7"	"Klhl7"	0.93006404014741	-0.93006404014741	"S01"	0.93006404014741	"IS01"
"Eml4"	"Eml4"	0.929962667085791	-0.929962667085791	"S01"	0.929962667085791	"IS01"
"Qk"	"Qk"	0.929689096003188	-0.929689096003188	"S01"	0.929689096003188	"IS01"
"Btbd1"	"Btbd1"	0.927526625635212	-0.927526625635212	"S01"	0.927526625635212	"IS01"
"Pag1"	"Pag1"	0.92673047701451	-0.92673047701451	"S01"	0.92673047701451	"IS01"
"Rin3"	"Rin3"	0.926019198229533	-0.926019198229533	"S01"	0.926019198229533	"IS01"
"Spg11"	"Spg11"	0.925688280016047	-0.925688280016047	"S01"	0.925688280016047	"IS01"
"Map4k3"	"Map4k3"	0.924508675787509	-0.924508675787509	"S01"	0.924508675787509	"IS01"
"Phc2"	"Phc2"	0.923503489418263	-0.923503489418263	"S01"	0.923503489418263	"IS01"
"Dym"	"Dym"	0.922846126315004	-0.922846126315004	"S01"	0.922846126315004	"IS01"
"Rin2"	"Rin2"	0.922358071476756	-0.922358071476756	"S01"	0.922358071476756	"IS01"
"Ms4a6d"	"Ms4a6d"	0.921888353081284	-0.921888353081284	"S01"	0.921888353081284	"IS01"
"Rapgef5"	"Rapgef5"	0.921536037441174	-0.921536037441174	"S01"	0.921536037441174	"IS01"
"Med13"	"Med13"	0.918276185340158	-0.918276185340158	"S01"	0.918276185340158	"IS01"
"Csnk1e"	"Csnk1e"	0.9167315616624	-0.9167315616624	"S01"	0.9167315616624	"IS01"
"Fkbp15"	"Fkbp15"	0.916585415463906	-0.916585415463906	"S01"	0.916585415463906	"IS01"
"Depdc5"	"Depdc5"	0.916320478974845	-0.916320478974845	"S01"	0.916320478974845	"IS01"
"Washc4"	"Washc4"	0.914593740883855	-0.914593740883855	"S01"	0.914593740883855	"IS01"
"Pkib"	"Pkib"	0.913715888297675	-0.913715888297675	"S01"	0.913715888297675	"IS01"
"Aopep"	"Aopep"	0.911352584502488	-0.911352584502488	"S01"	0.911352584502488	"IS01"
"Kcnj10"	"Kcnj10"	0.911151333597285	-0.911151333597285	"S01"	0.911151333597285	"IS01"
"Tfeb"	"Tfeb"	0.910900929965914	-0.910900929965914	"S01"	0.910900929965914	"IS01"
"Ncf1"	"Ncf1"	0.910799080867422	-0.910799080867422	"S01"	0.910799080867422	"IS01"
"Uba6"	"Uba6"	0.910748952836056	-0.910748952836056	"S01"	0.910748952836056	"IS01"
"E2f3"	"E2f3"	0.909854077650701	-0.909854077650701	"S01"	0.909854077650701	"IS01"
"Atf6"	"Atf6"	0.908765604411043	-0.908765604411043	"S01"	0.908765604411043	"IS01"
"Gspt1"	"Gspt1"	0.907783191768728	-0.907783191768728	"S01"	0.907783191768728	"IS01"
"Lgals9"	"Lgals9"	0.907398156108556	-0.907398156108556	"S01"	0.907398156108556	"IS01"
"Marchf1"	"Marchf1"	0.907338792721949	-0.907338792721949	"S01"	0.907338792721949	"IS01"
"Slc49a4"	"Slc49a4"	0.902782452467148	-0.902782452467148	"S01"	0.902782452467148	"IS01"
"Scmh1"	"Scmh1"	0.901806506633576	-0.901806506633576	"S01"	0.901806506633576	"IS01"
"Atg3"	"Atg3"	0.899926431039078	-0.899926431039078	"S01"	0.899926431039078	"IS01"
"Pigu"	"Pigu"	0.899008894158809	-0.899008894158809	"S01"	0.899008894158809	"IS01"
"Kdm5a"	"Kdm5a"	0.898545713821209	-0.898545713821209	"S01"	0.898545713821209	"IS01"
"Akr1a1"	"Akr1a1"	0.895242965441488	-0.895242965441488	"S01"	0.895242965441488	"IS01"
"Pik3cb"	"Pik3cb"	0.893939705792562	-0.893939705792562	"S01"	0.893939705792562	"IS01"
"Bach2os"	"Bach2os"	0.893683493898786	-0.893683493898786	"S01"	0.893683493898786	"IS01"
"Rap1gap2"	"Rap1gap2"	0.89201269007391	-0.89201269007391	"S01"	0.89201269007391	"IS01"
