"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"State"	"MaxFC"	"InitialState"
"Arhgap28"	"Arhgap28"	-0.278996511325762	-0.132787882937938	-0.641004952288728	1.1718993086613	"S01"	1.1718993086613	"IS04"
"Gm35330"	"Gm35330"	-0.320575056662863	-0.257675355483161	-0.511099025718045	1.16063733662202	"S01"	1.16063733662202	"IS04"
"Laptm4b"	"Laptm4b"	-0.447823427407387	-0.139940398267375	-0.447823427407387	1.14872389069785	"S01"	1.14872389069785	"IS04"
"Map3k14"	"Map3k14"	-0.643526983790488	-0.102414942428263	-0.272981806963326	1.14547786562625	"S01"	1.14547786562625	"IS04"
"Nr4a3"	"Nr4a3"	-0.449519222877217	-0.115263018918991	-0.449519222877217	1.13453052098126	"S01"	1.13453052098126	"IS04"
"Dpp10"	"Dpp10"	-0.447771122114635	-0.118527030674215	-0.447771122114635	1.13284938244567	"S01"	1.13284938244567	"IS04"
"Il15ra"	"Il15ra"	-0.526133436353479	0.241778021409612	-0.590536460147165	1.12599145918745	"S01"	1.12599145918745	"IS04"
"Serpinb9"	"Serpinb9"	-0.544152377818742	-0.0420382366582992	-0.383106721464278	1.11361514155132	"S01"	1.11361514155132	"IS04"
"Stap2"	"Stap2"	-0.377536832811587	-0.312647689672095	-0.377536832811587	1.11163622994523	"S01"	1.11163622994523	"IS04"
"Gm33843"	"Gm33843"	-0.377272887145207	-0.312429109667125	-0.377272887145207	1.11085905659422	"S01"	1.11085905659422	"IS04"
"Gm48718"	"Gm48718"	-0.376728572255156	-0.311978348898801	-0.376728572255156	1.10925635164018	"S01"	1.10925635164018	"IS04"
"Gadd45b"	"Gadd45b"	-0.37640505286167	-0.311710434401071	-0.37640505286167	1.10830376675936	"S01"	1.10830376675936	"IS04"
"Il12b"	"Il12b"	-0.376310896946295	-0.31163246153365	-0.376310896946295	1.10802652989742	"S01"	1.10802652989742	"IS04"
"Tspoap1"	"Tspoap1"	-0.376043735381662	-0.311411218362939	-0.376043735381662	1.10723988751267	"S01"	1.10723988751267	"IS04"
"Mab21l3"	"Mab21l3"	-0.375447083561754	-0.310917116074578	-0.375447083561754	1.10548307937628	"S01"	1.10548307937628	"IS04"
"Gca"	"Gca"	-0.452697025341357	-0.374889724110811	-0.240807649133149	1.08553400986736	"S01"	1.08553400986736	"IS04"
"Rabgap1l"	"Rabgap1l"	-0.994953295151049	-0.0715070711468933	0.116329874736933	1.07850515337703	"S01"	1.07850515337703	"IS04"
"Strip2"	"Strip2"	-0.581648215129135	-0.219548952906246	-0.1838013300885	1.05526493434128	"S01"	1.05526493434128	"IS04"
"Ggta1"	"Ggta1"	-0.640755925333138	0.175142289643578	-0.3631493749858	1.04334414046218	"S01"	1.04334414046218	"IS04"
"Phlpp1"	"Phlpp1"	-0.509625522179961	0.139023475985058	-0.467370245296872	1.03849407183691	"S01"	1.03849407183691	"IS04"
"Zc3h12c"	"Zc3h12c"	-0.393787553468792	-0.0855045854303937	-0.436012417615373	1.03179471873768	"S01"	1.03179471873768	"IS04"
"Rgs12"	"Rgs12"	-0.414457777419448	-0.046288489681057	-0.414457777419448	1.00191343048244	"S01"	1.00191343048244	"IS04"
"Sh2d5"	"Sh2d5"	-0.335284494574229	-0.277657472069283	-0.335284494574229	0.987226567357451	"S01"	0.987226567357451	"IS04"
"Fcrl5"	"Fcrl5"	-0.335156860440416	-0.277551775052219	-0.335156860440416	0.986850755741224	"S01"	0.986850755741224	"IS04"
"Dscaml1"	"Dscaml1"	-0.33488549015281	-0.277327046532796	-0.33488549015281	0.986051721005497	"S01"	0.986051721005497	"IS04"
"Eno2"	"Eno2"	-0.333944140927227	-0.27654749170536	-0.333944140927227	0.983279970507946	"S01"	0.983279970507946	"IS04"
"Map4k4"	"Map4k4"	-0.515746569593216	-0.283498394850416	-0.147291075851843	0.982729556554259	"S01"	0.982729556554259	"IS04"
