"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"State"	"MaxFC"	"InitialState"
"Hsh2d"	"Hsh2d"	0.0253861762340468	0.118399048888274	0.843344806902254	-0.00136393590527047	-0.105409795305254	-0.215854104148077	0.250383501091092	-0.242177775385648	"S01"	0.843344806902254	"IS03"
"Nedd9"	"Nedd9"	0.278126745734491	0.466549273970283	0.76427723070409	0.143089712582701	-0.115607884351563	0.211712857564743	-0.0530847614171789	-0.64892656402496	"S01"	0.76427723070409	"IS03"
"Adamts6"	"Adamts6"	0.323328368780425	0.160073509578349	0.718276834467799	-0.0862512183809326	-0.1573961186289	0.348466987322584	-0.203779037997416	-0.3301568816705	"S01"	0.718276834467799	"IS03"
"Kcnq5"	"Kcnq5"	0.247803880908473	-0.168984434080449	0.713144822431866	-0.254826191983388	0.516866882664828	-0.243424924057857	-0.0863698383371852	-0.32404421312846	"S01"	0.713144822431866	"IS03"
"4930517O19Rik"	"4930517O19Rik"	-0.163824279061931	-0.165542715555588	0.681556241806435	-0.167297585331796	0.547051087166698	-0.17154064003224	-0.172792761492329	-0.192460230280074	"S01"	0.681556241806435	"IS03"
"Ccnd3"	"Ccnd3"	0.307724430115862	0.136954015082212	0.679867874341836	0.0807696937910696	0.0561487586841243	0.322720918553145	-0.297573921042183	-0.497821221090451	"S01"	0.679867874341836	"IS03"
"Rapgef4"	"Rapgef4"	0.428130551582044	-0.176665889951264	0.67698152513939	0.1836334045663	-0.390283776771007	0.156869342317864	-0.184654418403312	-0.0322881010876396	"S01"	0.67698152513939	"IS03"
"Fam169b"	"Fam169b"	0.46630741964025	-0.161391578943977	0.653645761917874	-0.266499361725848	-0.44134386565201	0.484500888832187	0.0540231681337087	-0.131755980960223	"S01"	0.653645761917874	"IS03"
"Scd1"	"Scd1"	-0.130726267299851	-0.0432489710438437	0.646830379141787	-0.436444967558872	-0.0216508446853608	0.134110656175228	0.0660887679166335	0.0258512788595378	"S01"	0.646830379141787	"IS03"
"Serp2"	"Serp2"	-0.195517191349112	-0.00470808723229042	0.610137447161788	0.14190528375783	-0.21900956705385	0.082262827247954	0.116324219560282	-0.0962531201489035	"S01"	0.610137447161788	"IS03"
"Senp7"	"Senp7"	-0.18415880349065	0.382410669772602	0.600040124468713	0.18696259327311	-0.134972303775696	0.212013585870703	0.264045948554521	-0.570840526673476	"S01"	0.600040124468713	"IS03"
"Smad7"	"Smad7"	-0.302829800961703	0.394149967832459	0.577423781945446	0.104332001959335	-0.077329754014142	0.0664276385309481	0.0822092916251183	-0.307031342919315	"S01"	0.577423781945446	"IS03"
"Slc7a1"	"Slc7a1"	0.298263194209283	-0.156833184029634	0.548811255159664	-0.157252554924475	0.21021406995701	0.0222341130097341	-0.139843968882599	-0.228177407452421	"S01"	0.548811255159664	"IS03"
"Sell"	"Sell"	0.162711690241139	0.0161363475430448	0.536419761203236	-0.270268453087542	0.444597618462271	-0.311478801320473	-0.381972280960437	-0.0161070115017771	"S01"	0.536419761203236	"IS03"
"Stk26"	"Stk26"	0.0577825739696111	-0.055115938188702	0.535835004278473	-0.347179029556358	0.201253660705222	0.0999735507101706	0.288652710292487	-0.391682282648944	"S01"	0.535835004278473	"IS03"
"Carns1"	"Carns1"	-0.122841487397175	-0.134885222542775	0.53535906385325	0.128293017678957	-0.0587404143977074	-0.201587209684941	0.501656712360949	-0.250903353827118	"S01"	0.53535906385325	"IS03"
"Gm10548"	"Gm10548"	0.211625118788463	-0.208536252536487	0.495086180744449	0.32788758624924	-0.111983062341145	-0.0730040502477879	0.117826680977635	-0.242444586282258	"S01"	0.495086180744449	"IS03"
"Gm50230"	"Gm50230"	-0.0678867036515458	0.398200068357596	0.490042306468596	0.0581055007779348	-0.270397982518578	0.242647439882894	-0.254608319305814	-0.0861931921055399	"S01"	0.490042306468596	"IS03"
"Cpm"	"Cpm"	0.400019283757676	-0.218047562776125	0.473189033242903	0.107942587042866	-0.145478279135947	0.0816678430247592	-0.22759709107289	-0.0368974597234295	"S01"	0.473189033242903	"IS03"
"Arhgap4"	"Arhgap4"	0.402162965301756	-0.162681832879064	0.471293152967564	-0.0700948154939844	0.149328656344398	0.0732312281971098	-0.0303833615079784	-0.350942752212141	"S01"	0.471293152967564	"IS03"
